Average trade price: 61370.443359, Total volume: 180.038097
Average trade price: 61368.299088, Total volume: 151.726604
Average trade price: 61364.493099, Total volume: 152.999017
Average trade price: 61360.483724, Total volume: 113.490105
Average trade price: 61357.439713, Total volume: 106.378999
Average trade price: 61354.445052, Total volume: 101.143715
Average trade price: 61350.861068, Total volume: 111.302837
Average trade price: 61345.593099, Total volume: 91.203774
Average trade price: 61343.525000, Total volume: 87.919099
Average trade price: 61343.588021, Total volume: 85.163686
Average trade price: 61344.902734, Total volume: 86.055026
Average trade price: 61347.164323, Total volume: 111.277369
Average trade price: 61351.391406, Total volume: 113.485056
Average trade price: 61355.245703, Total volume: 113.281699
Average trade price: 61360.033724, Total volume: 110.817051
Average trade price: 61363.670052, Total volume: 115.034111
Average trade price: 61366.627604, Total volume: 113.691752
Average trade price: 61370.987630, Total volume: 111.421856
Average trade price: 61377.434896, Total volume: 114.026939
Average trade price: 61382.612239, Total volume: 114.567723
Average trade price: 61387.408854, Total volume: 116.990309
Average trade price: 61392.493750, Total volume: 97.788753
Average trade price: 61396.427083, Total volume: 100.854968
Average trade price: 61399.465104, Total volume: 101.796596
Average trade price: 61401.696354, Total volume: 104.829603
Average trade price: 61404.269661, Total volume: 105.383163
Average trade price: 61405.404687, Total volume: 82.657074
Average trade price: 61405.658724, Total volume: 72.422117
Average trade price: 61406.283464, Total volume: 83.080500
Average trade price: 61407.895833, Total volume: 83.910276
Average trade price: 61406.883854, Total volume: 83.264265
Average trade price: 61404.303906, Total volume: 83.089014
Average trade price: 61401.210156, Total volume: 84.932780
Average trade price: 61396.759896, Total volume: 87.298182
Average trade price: 61392.497917, Total volume: 91.552130
Average trade price: 61386.381641, Total volume: 87.214251
Average trade price: 61379.066667, Total volume: 108.813951
Average trade price: 61372.276953, Total volume: 107.762120
Average trade price: 61366.972656, Total volume: 111.600953
Average trade price: 61362.963412, Total volume: 108.383825
Average trade price: 61358.206380, Total volume: 115.593094
Average trade price: 61352.175000, Total volume: 111.020771
Average trade price: 61344.526042, Total volume: 106.385362
Average trade price: 61338.513672, Total volume: 96.082239
Average trade price: 61332.247005, Total volume: 95.991645
Average trade price: 61323.989583, Total volume: 126.746276
Average trade price: 61316.084505, Total volume: 137.643924
Average trade price: 61308.694922, Total volume: 138.898534
Average trade price: 61302.262500, Total volume: 141.150217
Average trade price: 61296.798828, Total volume: 144.712995
Average trade price: 61292.057813, Total volume: 147.262072
Average trade price: 61290.832813, Total volume: 129.282577
Average trade price: 61288.755859, Total volume: 133.647495
Average trade price: 61285.688802, Total volume: 133.574367
Average trade price: 61280.621484, Total volume: 156.288185
Average trade price: 61274.440885, Total volume: 150.674846
