Starting Price: 60934.000000, Ending Price: 60870.000000, Highest Price: 60934.011719, Lowest Price: 60850.000000, Total Volume: 19.716051
Starting Price: 60870.000000, Ending Price: 60883.988281, Highest Price: 60896.429688, Lowest Price: 60856.601562, Total Volume: 10.072345
Starting Price: 60883.988281, Ending Price: 60900.011719, Highest Price: 60918.371094, Lowest Price: 60871.839844, Total Volume: 11.623725
Starting Price: 60900.011719, Ending Price: 60940.828125, Highest Price: 60943.960938, Lowest Price: 60900.000000, Total Volume: 7.074296
Starting Price: 60940.820312, Ending Price: 60992.000000, Highest Price: 60998.000000, Lowest Price: 60940.820312, Total Volume: 8.660370
Starting Price: 60992.000000, Ending Price: 61011.988281, Highest Price: 61012.000000, Lowest Price: 60972.011719, Total Volume: 9.149366
Starting Price: 60999.988281, Ending Price: 61074.011719, Highest Price: 61104.410156, Lowest Price: 60989.160156, Total Volume: 131.596115
Starting Price: 61074.011719, Ending Price: 61114.000000, Highest Price: 61114.101562, Lowest Price: 61066.089844, Total Volume: 13.099950
Starting Price: 61113.988281, Ending Price: 61104.011719, Highest Price: 61139.480469, Lowest Price: 61096.011719, Total Volume: 17.202906
Starting Price: 61104.011719, Ending Price: 61061.871094, Highest Price: 61123.988281, Lowest Price: 61051.460938, Total Volume: 12.966363
Starting Price: 61061.871094, Ending Price: 61101.691406, Highest Price: 61132.000000, Lowest Price: 61061.871094, Total Volume: 8.009930
Starting Price: 61101.691406, Ending Price: 61096.000000, Highest Price: 61103.839844, Lowest Price: 61062.000000, Total Volume: 11.571999
Starting Price: 61096.011719, Ending Price: 61064.171875, Highest Price: 61109.281250, Lowest Price: 61064.160156, Total Volume: 11.771905
Starting Price: 61064.171875, Ending Price: 61104.000000, Highest Price: 61121.218750, Lowest Price: 61030.000000, Total Volume: 12.468810
Starting Price: 61103.609375, Ending Price: 61026.000000, Highest Price: 61104.000000, Lowest Price: 61026.000000, Total Volume: 8.321028
Starting Price: 61026.011719, Ending Price: 61024.000000, Highest Price: 61038.000000, Lowest Price: 61002.000000, Total Volume: 6.907876
Starting Price: 61024.000000, Ending Price: 61029.988281, Highest Price: 61032.000000, Lowest Price: 61000.000000, Total Volume: 7.692232
Starting Price: 61029.988281, Ending Price: 61036.000000, Highest Price: 61080.000000, Lowest Price: 61027.910156, Total Volume: 15.171339
Starting Price: 61036.011719, Ending Price: 61090.910156, Highest Price: 61090.910156, Lowest Price: 61028.550781, Total Volume: 21.080738
Starting Price: 61090.910156, Ending Price: 61125.988281, Highest Price: 61126.000000, Lowest Price: 61070.011719, Total Volume: 9.335262
Starting Price: 61126.000000, Ending Price: 61069.679688, Highest Price: 61126.589844, Lowest Price: 61049.460938, Total Volume: 23.208181
Starting Price: 61069.718750, Ending Price: 61060.000000, Highest Price: 61080.000000, Lowest Price: 61042.000000, Total Volume: 12.546277
Starting Price: 61060.011719, Ending Price: 61072.011719, Highest Price: 61112.000000, Lowest Price: 61060.000000, Total Volume: 11.813842
Starting Price: 61072.000000, Ending Price: 61084.000000, Highest Price: 61088.000000, Lowest Price: 61041.281250, Total Volume: 13.680434
Starting Price: 61083.988281, Ending Price: 61072.000000, Highest Price: 61087.988281, Lowest Price: 61028.640625, Total Volume: 23.034430
Starting Price: 61072.000000, Ending Price: 61060.000000, Highest Price: 61074.000000, Lowest Price: 61004.000000, Total Volume: 18.464956
Starting Price: 61059.988281, Ending Price: 61098.000000, Highest Price: 61103.500000, Lowest Price: 61054.011719, Total Volume: 13.463887
Starting Price: 61098.000000, Ending Price: 61114.000000, Highest Price: 61114.531250, Lowest Price: 61098.000000, Total Volume: 11.819876
Starting Price: 61114.000000, Ending Price: 61084.000000, Highest Price: 61116.000000, Lowest Price: 61080.000000, Total Volume: 7.296180
Starting Price: 61084.011719, Ending Price: 61072.000000, Highest Price: 61084.011719, Lowest Price: 61059.898438, Total Volume: 8.251619
Starting Price: 61071.988281, Ending Price: 61132.011719, Highest Price: 61136.101562, Lowest Price: 61071.988281, Total Volume: 24.985981
Starting Price: 61132.011719, Ending Price: 61128.019531, Highest Price: 61140.000000, Lowest Price: 61120.000000, Total Volume: 5.882228
Starting Price: 61128.031250, Ending Price: 61100.011719, Highest Price: 61129.140625, Lowest Price: 61100.000000, Total Volume: 4.526329
Starting Price: 61100.000000, Ending Price: 61093.500000, Highest Price: 61100.011719, Lowest Price: 61067.089844, Total Volume: 7.781863
Starting Price: 61093.511719, Ending Price: 61139.988281, Highest Price: 61140.000000, Lowest Price: 61093.500000, Total Volume: 9.486162
Starting Price: 61140.000000, Ending Price: 61181.839844, Highest Price: 61183.761719, Lowest Price: 61139.988281, Total Volume: 8.852546
Starting Price: 61181.828125, Ending Price: 61154.011719, Highest Price: 61183.601562, Lowest Price: 61150.011719, Total Volume: 12.618473
Starting Price: 61154.011719, Ending Price: 61112.109375, Highest Price: 61154.011719, Lowest Price: 61110.000000, Total Volume: 7.670914
Starting Price: 61112.121094, Ending Price: 61134.199219, Highest Price: 61167.171875, Lowest Price: 61112.109375, Total Volume: 22.163687
Starting Price: 61134.199219, Ending Price: 61142.000000, Highest Price: 61148.000000, Lowest Price: 61120.000000, Total Volume: 9.029887
Starting Price: 61142.000000, Ending Price: 61103.750000, Highest Price: 61152.000000, Lowest Price: 61100.000000, Total Volume: 4.403378
Starting Price: 61103.761719, Ending Price: 61111.210938, Highest Price: 61111.210938, Lowest Price: 61076.011719, Total Volume: 8.674761
Starting Price: 61111.218750, Ending Price: 61116.960938, Highest Price: 61138.000000, Lowest Price: 61100.000000, Total Volume: 5.532547
Starting Price: 61116.968750, Ending Price: 61157.160156, Highest Price: 61157.160156, Lowest Price: 61116.960938, Total Volume: 4.645442
Starting Price: 61157.160156, Ending Price: 61152.011719, Highest Price: 61172.570312, Lowest Price: 61152.000000, Total Volume: 8.181441
Starting Price: 61152.011719, Ending Price: 61159.898438, Highest Price: 61182.589844, Lowest Price: 61152.000000, Total Volume: 9.763849
Starting Price: 61159.898438, Ending Price: 61128.000000, Highest Price: 61159.898438, Lowest Price: 61128.000000, Total Volume: 5.889256
